id, product_name ,product_url,product_type,price
40,Egyptian Magic All Purpose Skin Cream 59ml/2oz,https://www.lookfantastic.com/egyptian-magic-all-purpose-skin-cream-59ml-2oz/11294204.html,Moisturiser,£20.00
41,La Roche-Posay Nutritic Intense Rich 50ml,https://www.lookfantastic.com/la-roche-posay-nutritic-intense-rich-50ml/11091859.html,Moisturiser,£18.00
42,Origins GinZing™ Energy-Boosting Tinted Moisturiser SPF40 50ml,https://www.lookfantastic.com/origins-ginzing-energy-boosting-tinted-moisturizer-spf40-50ml/11396733.html,Moisturiser,£32.00
43,Estée Lauder DayWear Multi-Protection Anti-Oxidant Creme SPF 15 30ml,https://www.lookfantastic.com/estee-lauder-daywear-multi-protection-anti-oxidant-creme-spf-15-30ml/11413747.html,Moisturiser,£25.20
44,Elizabeth Arden Eight Hour Great 8 Daily Defense Moisturizer 45ml,https://www.lookfantastic.com/elizabeth-arden-eight-hour-great-8-daily-defense-moisturizer-45ml/12201758.html,Moisturiser,£36.00
45,Skin Doctors Sd White & Bright (50ml),https://www.lookfantastic.com/skin-doctors-sd-white-and-bright-50ml/10307573.html,Moisturiser,£21.99
46,Origins GinZing Ultra Hydrating Energy-Boosting Cream Moisturiser 50ml,https://www.lookfantastic.com/origins-ginzing-ulta-hydrating-energy-boosting-cream-moisturiser-50ml/12193057.html,Moisturiser,£25.00
47,Elizabeth Arden Eight Hour Cream Skin Protectant (50ml),https://www.lookfantastic.com/elizabeth-arden-eight-hour-cream-skin-protectant-50ml/10026014.html,Moisturiser,£28.00
48,PRAI AGELESS Throat & Decolletage Crème 50ml,https://www.lookfantastic.com/prai-ageless-throat-decolletage-creme-50ml/11362310.html,Moisturiser,£24.99
49,La Roche-Posay Toleriane Sensitive Fluid Moisturiser 40ml,https://www.lookfantastic.com/la-roche-posay-toleriane-sensitive-fluid-moisturiser-40ml/11855110.html,Moisturiser,£16.50
50,La Roche-Posay Effaclar MAT+ 40ml,https://www.lookfantastic.com/la-roche-posay-effaclar-mat-40ml/11091826.html,Moisturiser,£17.00
51,Mama Mio The Tummy Rub Butter 120ml - Fragrance Free,https://www.lookfantastic.com/mama-mio-the-tummy-rub-butter-120ml-fragrance-free/12078037.html,Moisturiser,£24.00
52,Clinique Moisture Surge 72 Hour Auto Replenishing Hydrator 50ml,https://www.lookfantastic.com/clinique-moisture-surge-72-hour-auto-replenishing-hydrator-50ml/11144741.html,Moisturiser,£37.00
